real_policy_rate,inflation_yoy,yield_spread,regime,date
0.528557,4.381443,1.612273,2,2071-06-01
0.93982,4.37018,1.419524,0,2071-07-01
1.211026,4.358974,1.012727,0,2071-08-01
1.468367,4.081633,0.589524,0,2071-09-01
1.392893,3.807107,0.725789,0,2071-10-01
1.374646,3.535354,0.9,0,2071-11-01
0.873668,3.266332,1.786364,2,2071-12-01
0.251855,3.258145,2.437619,2,2072-01-01
-0.459398,3.759398,2.781,2,2072-02-01
0.33,3.5,2.238636,2,2072-03-01
0.678728,3.491272,2.0245,2,2072-04-01
1.044194,3.225806,1.856364,2,2072-05-01
1.497037,2.962963,1.646818,0,2072-06-01
1.594335,2.955665,1.563,0,2072-07-01
1.861597,2.948403,1.400435,0,2072-08-01
1.683725,3.186275,1.6795,0,2072-09-01
1.871516,3.178484,1.4295,0,2072-10-01
1.645366,3.414634,1.2205,0,2072-11-01
1.923674,3.406326,1.0285,0,2072-12-01
2.299223,3.640777,0.524545,0,2073-01-01
2.715266,3.864734,0.055556,0,2073-02-01
2.259082,4.830918,-0.380909,0,2073-03-01
1.818795,5.301205,-0.4515,0,2073-04-01
2.311154,5.528846,-0.992727,0,2073-05-01
2.494796,5.995204,-1.59,0,2073-06-01
4.658373,5.741627,-3.269048,1,2073-07-01
3.101432,7.398568,-3.095217,1,2073-08-01
3.41658,7.363419999999999,-3.689474,1,2073-09-01
1.953128,8.056872,-3.215714,1,2073-10-01
1.775283,8.254717,-3.3015,1,2073-11-01
1.008824,8.941176,-3.206316,1,2073-12-01
0.048126,9.601874,-2.661364,1,2074-01-01
-1.03,10.0,-2.012778,1,2074-02-01
-0.788249,10.138249,-2.140952,1,2074-03-01
0.44135,10.06865,-2.997619,1,2074-04-01
0.60385,10.70615,-3.734091,1,2074-05-01
1.070271,10.859729,-4.3945,1,2074-06-01
1.381538,11.538462,-5.115,1,2074-07-01
1.121111,10.888889,-3.965909,1,2074-08-01
-0.606903,11.946903,-3.3025,1,2074-09-01
-1.782105,11.842105,-2.163182,1,2074-10-01
-2.750436,12.200436,-1.768889,1,2074-11-01
-3.565032,12.095032,-1.09619,1,2074-12-01
-4.622137,11.752137,0.371364,1,2075-01-01
-4.965074,11.205074,1.152222,1,2075-02-01
-4.920251,10.460251,2.188,2,2075-03-01
-4.69711,10.18711,2.736818,2,2075-04-01
-4.039259,9.259259,2.839524,2,2075-05-01
-3.633673,9.183673,2.310952,2,2075-06-01
-3.433469,9.533469,1.961364,2,2075-07-01
-2.477234,8.617234,2.257619,2,2075-08-01
-1.665138,7.905138,2.186667,2,2075-09-01
-1.827059,7.647059,2.317727,2,2075-10-01
-2.158641,7.378641,2.832941,2,2075-11-01
-1.929094,7.129094,2.796818,2,2075-12-01
-1.822161,6.692161,2.872381,2,1976-01-01
-1.503764,6.273764,3.022778,2,1976-02-01
-1.220606,6.060606,2.894348,2,1976-03-01
-1.029057,5.849057,2.744286,2,1976-04-01
-0.924689,6.214689,2.605,2,1976-05-01
-0.501308,5.981308,2.381364,2,1976-06-01
-0.245556,5.555556,2.521905,2,1976-07-01
-0.429557,5.719557,2.478636,2,1976-08-01
-0.244505,5.494505,2.344286,2,1976-09-01
-0.444481,5.464481,2.391,2,1976-10-01
-0.113291,5.063291,2.341053,2,1976-11-01
-0.385971,5.035971,2.219091,2,1976-12-01
-0.587133,5.197133,2.603333,2,1977-01-01
-1.40229,6.08229,2.711053,2,1977-02-01
-1.738571,6.428571,2.77,2,1977-03-01
-2.221872,6.951872,2.6405,2,1977-04-01
-1.387589,6.737589,2.106667,2,1977-05-01
-1.31194,6.70194,1.885455,2,1977-06-01
-1.246667,6.666667,1.91,2,1977-07-01
-0.731763,6.631763,1.496522,2,1977-08-01
-0.283611,6.423611,1.20381,2,1977-09-01
0.079672,6.390328,1.0535,2,1977-10-01
-0.202565,6.712565,1.067368,2,1977-11-01
-0.118082,6.678082,1.125238,2,1977-12-01
-0.11431,6.81431,1.25619,2,1978-01-01
0.54054,6.23946,1.253333,2,1978-02-01
0.414161,6.375839,1.245909,2,1978-03-01
0.39,6.5,1.264,2,1978-04-01
0.217143,7.142857,0.985714,2,1978-05-01
0.1619829999999999,7.438017,0.862273,2,1978-06-01
0.079737,7.730263,0.83,2,1978-07-01
0.184026,7.855974,0.37087,0,1978-08-01
-0.0328709999999999,8.482871,-0.0335,1,1978-09-01
0.031429,8.928571,-0.317619,1,1978-10-01
0.889032,8.870968,-0.955,1,1978-11-01
1.041236,8.988764,-1.0235,1,1978-12-01
0.819601,9.250399,-0.970455,1,1979-01-01
0.21873,9.84127,-0.961667,1,1979-02-01
-0.162366,10.252366,-0.972727,1,1979-03-01
-0.475133,10.485133,-0.828,1,1979-04-01
-0.457674,10.697674,-0.987619,1,1979-05-01
-0.786923,11.076923,-1.37619,1,1979-06-01
-0.980382,11.450382,-1.52,1,1979-07-01
-0.896115,11.836115,-1.910435,1,1979-08-01
-0.449699,11.879699,-2.095263,1,1979-09-01
1.698465,12.071535,-3.470909,1,1979-10-01
0.587407,12.592593,-2.526842,1,1979-11-01
0.525214,13.254786,-3.394,1,1979-12-01
-0.048613,13.868613,-3.017727,1,1980-01-01
-0.03185,14.16185,-1.715263,1,1980-02-01
2.597725,14.592275,-4.440952,1,1980-03-01
3.020765,14.589235,-6.136667,1,1980-04-01
-3.44577,14.42577,-0.798571,1,1980-05-01
-4.795928,14.265928,0.308095,1,1980-06-01
-4.120685,13.150685,1.217727,1,1980-07-01
-3.280095,12.890095,1.491905,1,1980-08-01
-1.898817,12.768817,0.638571,1,1980-09-01
0.177021,12.632979,-1.058636,1,1980-10-01
3.218421,12.631579,-3.165294,1,1980-11-01
6.546294,12.353706,-6.055909,1,1980-12-01
7.285128,11.794872,-6.511429,1,1981-01-01
4.537595,11.392405,-2.735556,1,1981-02-01
4.088265,10.611735,-1.584091,1,1981-03-01
5.58403,10.13597,-2.040476,1,1981-04-01
8.728078,9.791922,-4.4205,1,1981-05-01
9.40303,9.69697,-5.627727,1,1981-06-01
8.265182,10.774818,-4.759091,1,1981-07-01
7.002692,10.817308,-2.882857,1,1981-08-01
4.904565,10.965435,-0.54619,1,1981-09-01
4.808453,10.271547,0.068095,1,1981-10-01
3.730561,9.579439,0.082778,1,1981-11-01
3.457963,8.912037,1.354545,0,1981-12-01
4.963119,8.256881,1.374,0,1982-01-01
7.166364,7.613636,-0.354444,0,1982-02-01
7.795124,6.884876,-0.818696,0,1982-03-01
8.318227,6.621773,-1.068095,0,1982-04-01
7.538071,6.911929,-0.8275,0,1982-05-01
6.96768,7.18232,0.149545,0,1982-06-01
6.032623,6.557377,1.35619,0,1982-07-01
4.154707,5.965293,2.935,0,1982-08-01
5.369076,4.940924,2.029048,0,1982-09-01
4.67788,5.03212,1.1965,0,1982-10-01
4.722388,4.477612,1.350526,0,1982-11-01
5.124283,3.825717,1.59,0,1982-12-01
4.972373,3.707627,1.777143,0,1983-01-01
5.025312,3.484688,2.214737,0,1983-02-01
5.179715,3.590285,1.736522,0,1983-03-01
4.8,4.0,1.6,0,1983-04-01
5.188916,3.441084,1.75,0,1983-05-01
6.505773,2.474227,1.868636,0,1983-06-01
7.011026,2.358974,2.007,0,1983-07-01
7.103501,2.456499,2.286087,0,1983-08-01
6.686438,2.763562,2.20381,0,1983-09-01
6.727706,2.752294,2.061,0,1983-10-01
6.176735,3.163265,2.35,0,1983-11-01
5.682897,3.787103,2.359524,0,1983-12-01
5.269908,4.290092,2.114286,0,1984-01-01
4.896122,4.693878,2.252105,0,1984-02-01
5.017034,4.892966,2.409091,0,1984-03-01
5.735344,4.554656,2.3435,0,1984-04-01
5.985323,4.334677,3.088636,0,1984-05-01
6.734044,4.325956,2.502857,0,1984-06-01
6.921383,4.308617,2.132381,0,1984-07-01
7.344296,4.295704,1.076087,0,1984-08-01
7.017131,4.282869,1.222632,0,1984-09-01
5.724127,4.265873,2.170455,0,1984-10-01
5.275697,4.154303,2.142632,0,1984-11-01
4.336607,4.043393,3.1195,0,1984-12-01
4.824045,3.525955,3.034286,0,1985-01-01
4.893762,3.606238,3.008889,0,1985-02-01
4.789913,3.790087,3.275238,0,1985-03-01
4.688199,3.581801,3.164762,0,1985-04-01
4.395121,3.574879,2.876818,0,1985-05-01
3.865583,3.664417,2.626,0,1985-06-01
4.421787,3.458213,2.426818,0,1985-07-01
4.54751,3.35249,2.431818,0,1985-08-01
4.672627,3.247373,2.453158,0,1985-09-01
4.754986,3.235014,2.246818,0,1985-10-01
4.53623,3.51377,1.731579,0,1985-11-01
4.478531,3.791469,0.989048,0,1985-12-01
4.16649,3.97351,1.05381,0,1986-01-01
4.661505,3.198495,0.844211,0,1986-02-01
5.326442,2.153558,0.2985,0,1986-03-01
5.401215,1.588785,0.309091,0,1986-04-01
5.170896,1.679104,0.859524,0,1986-05-01
5.152558,1.767442,0.879524,0,1986-06-01
4.888691,1.671309,0.743182,0,1986-07-01
4.594467,1.575533,0.995714,0,1986-08-01
4.132368,1.757632,1.557619,0,1986-09-01
4.28318,1.56682,1.576364,0,1986-10-01
4.755596,1.284404,1.210556,0,1986-11-01
5.722785,1.187215,0.202727,0,1986-12-01
5.065123,1.364877,0.6545,0,1987-01-01
4.185688,1.914312,1.150526,0,1987-02-01
3.28857,2.84143,1.118636,0,1987-03-01
2.690147,3.679853,1.652857,0,1987-04-01
3.180275,3.669725,1.763,0,1987-05-01
2.982285,3.747715,1.672273,0,1987-06-01
2.653059,3.926941,1.866818,0,1987-07-01
2.441679,4.288321,2.030476,0,1987-08-01
2.947273,4.272727,2.201905,0,1987-09-01
2.934283,4.355717,2.23,0,1987-10-01
2.161014,4.528986,2.170526,0,1987-11-01
2.43787,4.33213,2.217727,0,1987-12-01
2.700736,4.129264,1.835789,0,1988-01-01
2.644401,3.935599,1.632,0,1988-02-01
2.747558,3.832442,1.793478,0,1988-03-01
2.877098,3.992902,1.8485,0,1988-04-01
3.107699,3.982301,1.999048,0,1988-05-01
3.545242,3.964758,1.411364,0,1988-06-01
3.619947,4.130053,1.306,0,1988-07-01
3.898014,4.111986,1.250435,0,1988-08-01
4.00517,4.18483,0.787143,0,1988-09-01
4.03913,4.26087,0.4955,0,1988-10-01
4.103899,4.246101,0.6125,0,1988-11-01
4.348235,4.411765,0.345714,0,1988-12-01
4.637241,4.482759,-0.0285,0,1989-01-01
4.71284,4.64716,-0.191053,0,1989-02-01
4.957296,4.892704,-0.492273,0,1989-03-01
4.80587,5.03413,-0.6645,0,1989-04-01
4.533404,5.276596,-0.950909,0,1989-05-01
4.360508,5.169492,-1.252727,0,1989-06-01
4.176709,5.063291,-1.2215,0,1989-07-01
4.368151,4.621849,-0.877391,0,1989-08-01
4.584854,4.435146,-0.8295,0,1989-09-01
4.252844,4.587156,-0.832381,0,1989-10-01
3.894971,4.655029,-0.675714,0,1989-11-01
3.810398,4.639602,-0.614,0,1989-12-01
3.03198,5.19802,-0.023333,0,1990-01-01
2.976842,5.263158,0.233158,0,1990-02-01
3.042684,5.237316,0.308636,0,1990-03-01
3.548383,4.711617,0.5255,0,1990-04-01
3.8146,4.3654,0.578182,0,1990-05-01
3.61635,4.67365,0.19,0,1990-06-01
3.330723,4.819277,0.321429,0,1990-07-01
2.427189,5.702811,0.622609,0,1990-08-01
2.030128,6.169872,0.693158,0,1990-09-01
1.730415,6.379585,0.609545,0,1990-10-01
1.614607,6.195393,0.582,0,1990-11-01
1.055051,6.254949,0.765,0,1990-12-01
1.262941,5.647059,1.181905,0,1991-01-01
0.9375,5.3125,1.604737,2,1991-02-01
1.298849,4.821151,1.99,2,1991-03-01
1.10007,4.80993,2.129091,2,1991-04-01
0.745143,5.034857,2.287727,2,1991-05-01
1.20408,4.69592,2.384,2,1991-06-01
1.452184,4.367816,2.452727,2,1991-07-01
1.860608,3.799392,2.24,0,1991-08-01
2.053774,3.396226,2.2,0,1991-09-01
2.361424,2.848576,2.317273,0,1991-10-01
1.743433,3.066567,2.607368,2,1991-11-01
1.449374,2.980626,2.658571,2,1991-12-01
1.357394,2.672606,3.002381,2,1992-01-01
1.241009,2.818991,3.277895,2,1992-02-01
0.790089,3.189911,3.562273,2,1992-03-01
0.547172,3.182828,3.750476,2,1992-04-01
0.796401,3.023599,3.572,2,1992-05-01
0.745294,3.014706,3.501818,2,1992-06-01
0.092878,3.157122,3.594545,2,1992-07-01
0.225329,3.074671,3.285714,2,1992-08-01
0.227299,2.992701,3.195238,2,1992-09-01
-0.1798829999999999,3.279883,3.489048,2,1992-10-01
-0.030464,3.120464,3.783158,2,1992-11-01
-0.046715,2.966715,3.85,2,1992-12-01
-0.233796,3.253796,3.58,2,1993-01-01
-0.216753,3.246753,3.228947,2,1993-02-01
0.05059,3.01941,2.905217,2,1993-03-01
-0.196385,3.156385,3.009524,2,1993-04-01
-0.221188,3.221188,3.0355,2,1993-05-01
0.042141,2.997859,2.922727,2,1993-06-01
0.213025,2.846975,2.745238,2,1993-07-01
0.189091,2.840909,2.647727,2,1993-08-01
0.3260029999999999,2.763997,2.27,2,1993-09-01
0.237706,2.752294,2.344,2,1993-10-01
0.2754539999999999,2.744546,2.704,2,1993-11-01
0.149037,2.810963,2.814091,2,1993-12-01
0.59902,2.45098,2.7005,2,1994-01-01
0.734277,2.515723,2.723158,2,1994-02-01
0.688221,2.651779,3.142609,2,1994-03-01
1.195605,2.364395,3.412105,2,1994-04-01
1.721512,2.288488,3.173333,2,1994-05-01
1.755198,2.494802,2.851364,2,1994-06-01
1.561038,2.698962,3.038,2,1994-07-01
1.569448,2.900552,2.766087,2,1994-08-01
1.764483,2.965517,2.727143,2,1994-09-01
2.15011,2.60989,2.984,2,1994-10-01
2.68726,2.60274,2.665,0,1994-11-01
2.852597,2.597403,2.36381,0,1994-12-01
2.659187,2.870813,2.2495,0,1995-01-01
3.057014,2.862986,1.549474,0,1995-02-01
3.19278,2.78722,1.224783,0,1995-03-01
2.925,3.125,1.012632,0,1995-04-01
2.891356,3.118644,0.622727,0,1995-05-01
2.957404,3.042596,0.168182,0,1995-06-01
3.019811,2.830189,0.428,0,1995-07-01
3.12255,2.61745,0.748261,0,1995-08-01
3.254789,2.545211,0.3975,0,1995-09-01
3.015689,2.744311,0.284762,0,1995-10-01
3.196529,2.603471,0.130476,0,1995-11-01
3.068354,2.531646,0.1115,0,1995-12-01
2.769302,2.790698,0.092381,0,1996-01-01
2.502969,2.717031,0.5855,0,1996-02-01
2.466085,2.843915,0.958571,0,1996-03-01
2.387325,2.832675,1.291364,0,1996-04-01
2.412913,2.827087,1.496818,0,1996-05-01
2.448478,2.821522,1.642,0,1996-06-01
2.516645,2.883355,1.465455,0,1996-07-01
2.407704,2.812296,1.415455,0,1996-08-01
2.295428,3.004572,1.532,0,1996-09-01
2.178111,3.061889,1.293636,0,1996-10-01
2.05691,3.25309,0.893684,0,1996-11-01
1.911183,3.378817,1.012381,0,1996-12-01
2.211862,3.038138,1.329048,0,1997-01-01
2.157742,3.032258,1.229474,0,1997-02-01
2.624727,2.765273,1.3045,0,1997-03-01
3.075663,2.434337,1.375455,0,1997-04-01
3.262148,2.237852,1.210952,0,1997-05-01
3.326433,2.233567,0.93381,0,1997-06-01
3.354395,2.165605,0.700455,0,1997-07-01
3.249924,2.290076,0.758571,0,1997-08-01
3.320596,2.219404,0.668571,0,1997-09-01
3.414033,2.085967,0.529545,0,1997-10-01
3.629641,1.890359,0.355,0,1997-11-01
3.802954,1.697046,0.308636,0,1997-12-01
3.928883,1.631117,-0.0155,0,1998-01-01
4.0698,1.4402,0.064737,0,1998-02-01
4.113279,1.376721,0.157273,0,1998-03-01
4.011601,1.438399,0.187619,0,1998-04-01
3.801445,1.688555,0.1625,0,1998-05-01
3.937029,1.622971,-0.063636,0,1998-06-01
3.794364,1.745636,-0.078636,0,1998-07-01
3.933085,1.616915,-0.208095,0,1998-08-01
4.083201,1.426799,-0.703333,0,1998-09-01
3.583932,1.486068,-0.54,0,1998-10-01
3.34577,1.48423,-0.002632,0,1998-11-01
3.073078,1.606922,-0.035,0,1998-12-01
2.963333,1.666667,0.092105,0,1999-01-01
3.093333,1.666667,0.2389469999999999,0,1999-02-01
3.081605,1.728395,0.422609,0,1999-03-01
2.458866,2.281134,0.444545,0,1999-04-01
2.648979,2.091021,0.7995,0,1999-05-01
2.794398,1.965602,1.139545,0,1999-06-01
2.845392,2.144608,0.801905,0,1999-07-01
2.805618,2.264382,0.869091,0,1999-08-01
2.590031,2.629969,0.695238,0,1999-09-01
2.637462,2.562538,0.912,0,1999-10-01
2.799647,2.620353,0.614,0,1999-11-01
2.623601,2.676399,0.975455,0,1999-12-01
2.657043,2.792957,1.211,0,2000-01-01
2.512028,3.217972,0.7895,0,2000-02-01
2.087864,3.762136,0.4065219999999999,0,2000-03-01
3.006136,3.013864,-0.029474,0,2000-04-01
3.13747,3.13253,0.170455,0,2000-05-01
2.79506,3.73494,-0.432727,0,2000-06-01
2.94072,3.59928,-0.4859999999999999,0,2000-07-01
3.148713,3.351287,-0.673913,0,2000-08-01
3.063504,3.456496,-0.721,0,2000-09-01
3.059673,3.450327,-0.771429,0,2000-10-01
3.065819,3.444181,-0.792857,0,2000-11-01
2.963981,3.436019,-1.1595,0,2000-12-01
2.258795,3.721205,-0.819048,0,2001-01-01
1.960588,3.529412,-0.3910529999999999,0,2001-02-01
2.327544,2.982456,-0.424545,0,2001-03-01
1.581744,3.218256,0.341,0,2001-04-01
0.646916,3.563084,1.181364,2,2001-05-01
0.776039,3.193961,1.314286,2,2001-06-01
1.048518,2.721482,1.46619,0,2001-07-01
0.928518,2.721482,1.321304,0,2001-08-01
0.477834,2.592166,1.661765,2,2001-09-01
0.36234,2.12766,2.076818,2,2001-10-01
0.1956259999999999,1.894374,2.5615,2,2001-11-01
0.216334,1.603666,3.2675,2,2001-12-01
0.5341,1.1959,3.305714,2,2002-01-01
